Geographic Level,Week_ending,Disability Status,No Vaccination,Yes Vaccination
National,01/06/2024 12:00:00 AM,No,264741.048,198092.952
National,01/06/2024 12:00:00 AM,Yes,29123.795,25313.205
National,01/13/2024 12:00:00 AM,No,262889.71199999994,199944.28800000003
National,01/13/2024 12:00:00 AM,Yes,28851.61,25585.39
National,01/20/2024 12:00:00 AM,No,260575.542,202258.458
National,01/20/2024 12:00:00 AM,Yes,28688.299000000003,25748.700999999997
National,01/27/2024 12:00:00 AM,No,258724.206,204109.794
National,01/27/2024 12:00:00 AM,Yes,28633.862,25803.138
National,02/03/2024 12:00:00 AM,No,256410.036,206423.964
National,02/03/2024 12:00:00 AM,Yes,27762.87,26674.13
National,02/10/2024 12:00:00 AM,No,255947.202,206886.798
National,02/10/2024 12:00:00 AM,Yes,27762.87,26674.13
National,02/17/2024 12:00:00 AM,No,255484.36800000002,207349.63199999998
National,02/17/2024 12:00:00 AM,Yes,27599.559,26837.441
National,02/24/2024 12:00:00 AM,No,254558.69999999998,208275.30000000002
National,02/24/2024 12:00:00 AM,Yes,27327.374,27109.626
National,03/02/2024 12:00:00 AM,No,250856.02800000002,211977.97199999998
National,03/02/2024 12:00:00 AM,Yes,26728.567,27708.433
National,03/09/2024 12:00:00 AM,No,250856.02800000002,211977.97199999998
National,03/09/2024 12:00:00 AM,Yes,26728.567,27708.433
National,03/16/2024 12:00:00 AM,No,250393.19400000002,212440.80599999998
National,03/16/2024 12:00:00 AM,Yes,26728.567,27708.433
National,03/23/2024 12:00:00 AM,No,249930.36,212903.64
National,03/23/2024 12:00:00 AM,Yes,26674.13,27762.87
National,03/31/2024 12:00:00 AM,No,249467.52599999998,213366.47400000002
National,03/31/2024 12:00:00 AM,Yes,26619.693,27817.307
National,08/24/2024 12:00:00 AM,No,91459.368,2634.6319999999996
National,08/24/2024 12:00:00 AM,Yes,10660.592,632.4079999999999
National,08/31/2024 12:00:00 AM,No,91082.992,3011.0080000000003
National,08/31/2024 12:00:00 AM,Yes,10558.955,734.0450000000001
National,09/07/2024 12:00:00 AM,No,89671.582,4422.418
National,09/07/2024 12:00:00 AM,Yes,10321.802,971.198
National,09/14/2024 12:00:00 AM,No,87883.796,6210.204000000001
National,09/14/2024 12:00:00 AM,Yes,9937.84,1355.1599999999999
National,09/21/2024 12:00:00 AM,No,85060.976,9033.024
National,09/21/2024 12:00:00 AM,Yes,9734.565999999999,1558.4340000000002
National,09/28/2024 12:00:00 AM,No,83085.00200000001,11008.998
National,09/28/2024 12:00:00 AM,Yes,9542.585,1750.415
National,09/30/2023 12:00:00 AM,No,399425.742,63408.257999999994
National,09/30/2023 12:00:00 AM,Yes,46217.013,8219.987
National,10/05/2024 12:00:00 AM,No,76592.516,17501.484000000004
National,10/05/2024 12:00:00 AM,Yes,8605.266,2687.7340000000004
National,10/07/2023 12:00:00 AM,No,386929.22400000005,75904.77599999998
National,10/07/2023 12:00:00 AM,Yes,44475.029,9961.971
National,10/12/2024 12:00:00 AM,No,73863.79000000001,20230.21
National,10/12/2024 12:00:00 AM,Yes,8232.597,3060.4030000000002
National,10/14/2023 12:00:00 AM,No,367027.362,95806.63799999999
National,10/14/2023 12:00:00 AM,Yes,41535.431,12901.569
National,10/19/2024 12:00:00 AM,No,71135.064,22958.935999999998
National,10/19/2024 12:00:00 AM,Yes,8074.495000000001,3218.5049999999997
National,10/21/2023 12:00:00 AM,No,349902.504,112931.496
National,10/21/2023 12:00:00 AM,Yes,40120.069,14316.931
National,10/28/2023 12:00:00 AM,No,338331.65400000004,124502.34599999998
National,10/28/2023 12:00:00 AM,Yes,38976.892,15460.107999999998
National,11/04/2023 12:00:00 AM,No,316578.456,146255.544
National,11/04/2023 12:00:00 AM,Yes,36146.168,18290.832000000002
National,11/11/2023 12:00:00 AM,No,308710.27800000005,154123.72199999998
National,11/11/2023 12:00:00 AM,Yes,34240.873,20196.127
National,11/18/2023 12:00:00 AM,No,299916.432,162917.56800000003
National,11/18/2023 12:00:00 AM,Yes,33750.94,20686.06
National,11/25/2023 12:00:00 AM,No,295750.926,167083.074
National,11/25/2023 12:00:00 AM,Yes,33587.629,20849.370999999996
National,12/02/2023 12:00:00 AM,No,281403.072,181430.928
National,12/02/2023 12:00:00 AM,Yes,31301.275,23135.725
National,12/09/2023 12:00:00 AM,No,276311.89800000004,186522.10199999998
National,12/09/2023 12:00:00 AM,Yes,30865.779,23571.221
National,12/16/2023 12:00:00 AM,No,272146.392,190687.608
National,12/16/2023 12:00:00 AM,Yes,30648.030999999995,23788.969000000005
National,12/23/2023 12:00:00 AM,No,268906.554,193927.446
National,12/23/2023 12:00:00 AM,Yes,30266.971999999998,24170.028000000002
National,12/30/2023 12:00:00 AM,No,265666.716,197167.28399999999
National,12/30/2023 12:00:00 AM,Yes,30266.971999999998,24170.028000000002
